
2025/07/01 (13:21:50) | ===> btop++ v.1.4.0
2025/07/01 (13:21:50) | ERROR: Exception during Config::unlock() : unordered_map::at: key not found

2025/07/01 (13:21:58) | ===> btop++ v.1.4.0
2025/07/01 (13:21:58) | ERROR: Exception during Config::unlock() : unordered_map::at: key not found

2025/07/01 (13:22:42) | ===> btop++ v.1.4.0
2025/07/01 (13:22:42) | INFO: Logger set to INFO
2025/07/01 (13:22:44) | INFO: Logger set to DEBUG
2025/07/01 (13:22:44) | INFO: Logger set to INFO

2025/08/29 (12:20:35) | ===> btop++ v.1.4.0
2025/08/29 (12:20:35) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/08/29 (12:21:33) | ===> btop++ v.1.4.0
2025/08/29 (12:21:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/10/06 (10:07:14) | ===> btop++ v.1.4.0
2025/10/06 (10:07:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/10/15 (11:23:03) | ===> btop++ v.1.4.0
2025/10/15 (11:23:03) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/10/15 (11:28:28) | ===> btop++ v.1.4.0
2025/10/15 (11:28:28) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/10/15 (12:03:19) | ===> btop++ v.1.4.0
2025/10/15 (12:03:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/10/16 (12:56:59) | ===> btop++ v.1.4.0
2025/10/16 (12:56:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/10/16 (13:07:18) | ===> btop++ v.1.4.0
2025/10/16 (13:07:18) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/10/16 (13:20:13) | ===> btop++ v.1.4.0
2025/10/16 (13:20:13) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/10/16 (13:23:42) | ===> btop++ v.1.4.0
2025/10/16 (13:23:42) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/12/08 (12:07:16) | ===> btop++ v.1.4.0
2025/12/08 (12:07:16) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/12/09 (14:22:04) | ===> btop++ v.1.4.0
2025/12/09 (14:22:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/12/09 (14:24:08) | ===> btop++ v.1.4.0
2025/12/09 (14:24:08) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/12/18 (11:48:16) | ===> btop++ v.1.4.0
2025/12/18 (11:48:16) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/12/18 (11:48:34) | ===> btop++ v.1.4.0
2025/12/18 (11:48:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2026/02/21 (01:00:15) | ===> btop++ v.1.4.0
2026/02/21 (01:00:15) | ERROR: Exception in runner thread -> Proc:: -> basic_string
